TriMAP2,TriMAP1
0.40724438,-7.287726
49.261353,1.0320659
0.6005248,-8.324565
54.203686,-15.706949
-23.709309,-10.402639
-33.24661,-0.30457497
25.72054,10.516192
54.09257,-15.538682
-36.5273,17.380093
33.54884,13.05793
45.65708,-7.6817875
-47.592422,17.727278
-47.66578,17.663141
-40.642094,-4.588482
12.310689,-6.4295096
-31.430185,-3.5033355
-16.062546,-2.9740438
56.50571,-8.95256
45.66352,-16.956406
-30.61478,-5.1818204
17.26883,-4.554374
-45.42967,17.753304
26.483492,10.419649
45.78033,-17.52906
-39.81866,-4.997858
49.119152,0.8782113
-44.019184,13.602516
9.92879,-6.681119
44.72739,2.2809415
13.633681,-0.86635727
-32.625256,-4.337371
14.964738,10.502029
-30.751612,-2.5830758
-22.069424,-12.18422
44.10111,-12.468578
-44.180405,17.310696
46.051437,-5.301331
-37.83237,18.100601
48.541245,-8.217678
-17.965345,-5.688342
0.9098541,-9.670461
5.8117256,8.021805
1.6741152,6.0931854
45.5896,-17.387875
18.300787,8.254071
27.94413,2.4374723
-36.93602,15.80139
-51.315025,1.7702153
30.909592,1.898829
-41.63081,5.284492
-40.38076,-10.425001
17.245625,-4.6872826
37.33731,8.403526
34.45252,12.17198
-45.789665,12.372783
41.256115,14.1392975
22.681803,10.840019
51.736427,-15.206744
52.469208,-1.7549103
2.9861267,4.6446457
43.571663,15.491515
42.981434,5.601334
-6.770115,0.112812385
-47.73111,17.300478
1.4433485,5.13479
-32.745384,-11.139663
57.285706,-10.312907
43.214695,-18.580606
-46.94991,11.797546
-37.655056,12.721462
-41.129036,5.8887
-49.99947,9.374752
-38.432972,17.540775
3.6517665,6.390358
40.627186,7.972975
44.600193,-14.016591
-30.8303,-4.5830646
51.496872,-1.3891889
-48.5799,-7.793145
43.495594,15.698922
25.090101,0.2774512
-9.2635355,-9.408509
-20.884575,-4.7201138
39.59954,15.955256
53.711445,-2.764598
55.30192,-5.2374077
-38.89191,-5.2383337
50.276703,-0.77465016
-20.406528,-8.398432
-2.0217712,-10.579229
4.814141,-2.8218198
-50.044605,10.029159
-49.34687,5.6601
-48.290752,-6.241264
-36.797752,17.908205
56.46882,-8.179203
-47.703663,-9.365604
30.70343,1.9010084
-32.317413,-4.5858436
-42.92483,12.570443
-21.274998,-10.210496
21.470432,-1.4852854
31.944427,2.02822
-6.77975,0.36992115
-14.709594,-11.545384
-22.720652,-10.014566
43.647526,-18.271841
-37.502167,2.787322
43.483692,15.347916
-36.589874,9.125925
52.868954,-14.3905325
-19.014784,-12.8005295
-48.48102,15.854015
-35.277832,-7.1546674
-14.353236,-14.214978
57.19637,-12.197798
-34.804905,-3.1635566
42.32623,11.322505
-2.143306,-10.209242
-43.75525,-3.4382665
-6.7305493,-4.60936
49.26222,0.9725059
-3.059879,-10.872662
-41.626682,0.53440577
56.308144,-7.6816607
-41.32689,-9.397773
39.68246,15.846276
43.802757,4.5279784
-41.77078,-9.545441
-7.9737196,-8.505982
-41.867317,-7.179007
7.0943737,-2.433742
-32.658325,-3.9401462
-48.75297,13.492942
55.74746,-14.290782
-30.678282,-7.350788
-37.484135,3.74458
16.186705,-5.3242435
46.59163,-17.335062
42.452827,2.7440913
-37.562515,3.6873627
-36.095642,8.132827
43.651848,5.067207
47.193245,-10.466546
-36.678226,16.87415
37.70998,8.728618
-37.013412,9.416073
5.1259375,-1.2721869
43.33736,2.6443768
55.865604,-14.3396635
49.986732,-0.30214232
43.5279,12.644838
-47.806927,17.49943
-41.668636,4.8401337
8.545395,-7.3690076
-45.808266,10.702819
41.782173,8.961736
-8.284869,-1.341399
-31.728226,-4.5698843
-36.583878,1.3706087
38.764736,16.338726
-37.033703,11.124434
20.93172,10.447923
45.907715,-16.839863
32.888035,3.0785518
44.033653,-18.015982
13.434364,-6.200739
-39.16238,9.206693
-41.840958,12.685691
17.657299,-4.3697696
0.32135367,-9.242206
-36.900208,17.35762
-49.627277,9.331931
-32.34148,-10.934682
-49.730167,8.53185
-5.4104524,-0.17897363
39.807777,7.40011
-46.236202,-4.3994794
-37.114223,18.244682
19.029873,1.6940205
-41.960262,-0.67251694
17.578981,-4.3706365
32.935078,1.8757732
19.67265,9.901698
5.2720222,-2.0085864
-18.868856,-3.8848217
-18.960857,-4.569394
36.640667,6.4455934
53.75277,-15.521073
0.12434266,-9.622689
-40.573154,15.93111
-41.21721,16.092056
57.441784,-11.485866
51.318893,-1.2747221
57.624886,-11.500917
-9.955364,-7.1975393
-34.937477,-6.2711077
-48.857327,-7.330574
-21.791197,-10.9153805
-50.89249,2.7689264
35.71697,4.4984603
43.99621,-12.612883
30.023432,14.099903
-44.673176,-10.484148
-3.9899895,0.18767367
49.65514,-6.823568
-37.471836,13.707774
45.79655,-17.252808
-37.74344,8.691054
32.18691,14.508312
-9.681943,-9.617641
-33.17455,-6.2544346
-36.47938,17.363811
-42.430225,-8.426808
45.964714,-5.405476
-3.6766398,-11.070411
3.8419113,2.371413
19.637924,8.629327
-38.949615,7.1770205
-22.34248,-4.659255
-29.626947,-4.60539
30.05947,13.846787
-14.836375,-11.52729
-4.1460767,-0.15771718
43.110596,-18.632093
-11.818579,-1.1237414
-13.180389,-13.911479
29.394058,6.1800776
-22.961021,-8.261633
38.27403,8.315189
15.038766,-5.9307604
-39.993374,4.816773
45.219814,-17.769262
-5.1293097,-4.6863832
-21.011454,-11.992215
-37.001755,17.926092
-38.55363,12.970822
54.76301,-4.2600327
-25.118408,-5.457725
53.682056,-13.559207
-37.831062,13.183565
-36.550724,17.74484
-46.57342,17.792591
6.6075797,1.2130363
37.264603,6.36892
39.555264,7.9268928
36.036945,10.675411
36.085316,6.9525127
33.3668,13.552499
44.00563,-12.027133
-34.661533,3.3972495
-42.64464,14.117884
-46.057995,-8.001197
55.031284,-9.902454
-23.232323,-8.932987
14.539931,-6.061372
42.762646,15.748395
49.843838,-6.255753
39.75624,15.872543
-41.522385,14.72078
-47.79416,-5.503118
-41.860966,-10.085798
54.14566,-15.635169
44.37287,4.3538404
55.631218,-6.2965145
-40.685806,-4.8474784
50.888256,-15.630127
55.139446,-4.7894697
-20.232021,-5.211584
3.3747122,6.7442555
-31.809168,-1.3469219
3.1818967,6.64385
20.09182,2.0719054
44.085186,-11.5337105
-36.934544,9.900584
-17.218637,-3.6260087
-22.218935,-8.191271
48.177177,-9.527554
-42.52373,2.2368383
48.600994,-3.6931324
-33.53365,-0.59771854
-8.26647,-1.413292
-48.471016,15.53793
10.525046,-1.8118044
54.24615,-13.915855
-20.28813,-7.828588
-10.325173,-9.908907
14.907137,-5.962414
-26.135302,-6.0748568
15.304016,-5.8429875
-14.464135,-2.13172
-11.111553,-5.3308935
38.139755,16.59651
-20.094875,-7.741535
48.51754,-5.5359025
-44.287727,16.401802
50.176105,-5.802225
49.76894,-2.2266014
-23.05006,-8.12431
-47.32396,11.657204
-7.899326,-5.750442
-9.394298,-9.469002
-19.558115,-7.3449287
26.861696,10.979145
46.237267,-5.668917
-46.83249,-4.581338
19.539064,-3.0712068
53.407036,-15.458336
47.306057,-10.621912
-28.746971,-7.5466795
-51.080063,2.0481174
-37.271008,17.953054
49.056847,-7.7187324
-49.47817,7.9270825
11.909866,-1.6343142
-35.54823,4.7552857
-37.189583,18.110691
52.647594,-15.183491
-32.66262,-11.117797
